epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7715290188789368,0.6298644542694092,0.01,0.8531468510627747,0.6016871333122253
1,0.8769771456718445,0.5809234380722046,0.01,0.9020978808403015,0.553681492805481
2,0.9033392071723938,0.5377681255340576,0.01,0.9300699234008789,0.510948121547699
3,0.9191564321517944,0.4988923668861389,0.01,0.9440559148788452,0.47240474820137024
4,0.9261862635612488,0.46358078718185425,0.01,0.9370629191398621,0.43730080127716064
5,0.9349736571311951,0.4312658905982971,0.01,0.9370629191398621,0.40533480048179626
6,0.9349736571311951,0.4018871784210205,0.01,0.9440559148788452,0.37639591097831726
7,0.9367311000823975,0.37502071261405945,0.01,0.9510489702224731,0.3497929871082306
8,0.940246045589447,0.3505552113056183,0.01,0.9510489702224731,0.32571956515312195
9,0.9437609910964966,0.32843217253685,0.01,0.9650349617004395,0.3040897250175476
10,0.9437609910964966,0.30855345726013184,0.01,0.9650349617004395,0.2845182418823242
11,0.9420034885406494,0.29044127464294434,0.01,0.9650349617004395,0.266978919506073
12,0.9472759366035461,0.2741221487522125,0.01,0.9720279574394226,0.2511667311191559
13,0.9472759366035461,0.25949999690055847,0.01,0.9720279574394226,0.23687005043029785
14,0.9472759366035461,0.24627648293972015,0.01,0.9720279574394226,0.22401537001132965
15,0.9472759366035461,0.2342538982629776,0.01,0.9720279574394226,0.2124568372964859
16,0.9490333795547485,0.2234669327735901,0.01,0.9720279574394226,0.20205026865005493
17,0.9490333795547485,0.21359135210514069,0.01,0.9720279574394226,0.19246120750904083
18,0.9490333795547485,0.20460596680641174,0.01,0.9720279574394226,0.1838637739419937
19,0.9490333795547485,0.19650134444236755,0.01,0.9720279574394226,0.1760002076625824
20,0.9525483250617981,0.18905705213546753,0.01,0.9790209531784058,0.1688614934682846
21,0.9525483250617981,0.18225061893463135,0.01,0.9790209531784058,0.16220565140247345
22,0.9543058276176453,0.1759791523218155,0.01,0.9790209531784058,0.15616336464881897
23,0.9560632705688477,0.17004816234111786,0.01,0.9790209531784058,0.15050333738327026
24,0.9543058276176453,0.16464120149612427,0.01,0.9790209531784058,0.1452644318342209
25,0.9543058276176453,0.15963630378246307,0.01,0.9790209531784058,0.14041581749916077
26,0.9560632705688477,0.15489624440670013,0.01,0.9790209531784058,0.13586625456809998
27,0.9560632705688477,0.15051992237567902,0.01,0.9790209531784058,0.13173028826713562
28,0.95782071352005,0.14638836681842804,0.01,0.9790209531784058,0.12778979539871216
29,0.9595782160758972,0.1424371302127838,0.01,0.9790209531784058,0.12412862479686737
30,0.9595782160758972,0.1387672871351242,0.01,0.9790209531784058,0.1207035705447197
31,0.9595782160758972,0.13525162637233734,0.01,0.9790209531784058,0.11750543862581253
32,0.9630931615829468,0.13195659220218658,0.01,0.9790209531784058,0.11450132727622986
33,0.9630931615829468,0.1288052648305893,0.01,0.9790209531784058,0.11162208765745163
34,0.9630931615829468,0.1258266419172287,0.01,0.9860140085220337,0.10896245390176773
35,0.9630931615829468,0.12299852073192596,0.01,0.9860140085220337,0.1064482033252716
36,0.9666081070899963,0.1202172040939331,0.01,0.9860140085220337,0.1040143370628357
37,0.9683655500411987,0.117709219455719,0.01,0.9860140085220337,0.10168630629777908
38,0.9701230525970459,0.1151985228061676,0.01,0.9860140085220337,0.09944092482328415
39,0.9683655500411987,0.11286839097738266,0.01,0.9860140085220337,0.09740971773862839
40,0.9701230525970459,0.11058877408504486,0.01,0.9860140085220337,0.09544248878955841
41,0.9701230525970459,0.1084241047501564,0.01,0.9860140085220337,0.09352276474237442
42,0.9701230525970459,0.10628587007522583,0.01,0.9930070042610168,0.09166638553142548
43,0.9701230525970459,0.1042865589261055,0.01,0.9930070042610168,0.08989511430263519
44,0.9718804955482483,0.10235533863306046,0.01,0.9930070042610168,0.08821113407611847
45,0.9718804955482483,0.10051344335079193,0.01,0.9930070042610168,0.08656639605760574
46,0.9718804955482483,0.09870126098394394,0.01,0.9930070042610168,0.08500760048627853
47,0.9701230525970459,0.09697657078504562,0.01,0.9930070042610168,0.08346236497163773
48,0.9718804955482483,0.095374196767807,0.01,0.9930070042610168,0.08205895125865936
49,0.9718804955482483,0.09365106374025345,0.01,0.9930070042610168,0.08062604069709778
50,0.9718804955482483,0.09209954738616943,0.01,0.9930070042610168,0.07925263792276382
51,0.9718804955482483,0.0906030610203743,0.01,0.9930070042610168,0.07797672599554062
52,0.9718804955482483,0.08913976699113846,0.01,0.9930070042610168,0.07671307772397995
53,0.9718804955482483,0.08780783414840698,0.01,0.9930070042610168,0.07545999437570572
54,0.9718804955482483,0.0864211842417717,0.01,0.9930070042610168,0.07428024709224701
55,0.9718804955482483,0.08515223115682602,0.01,0.9930070042610168,0.07325571775436401
56,0.9718804955482483,0.08379963040351868,0.01,0.9930070042610168,0.07210171222686768
57,0.9753954410552979,0.08254937827587128,0.01,0.9930070042610168,0.07109503448009491
58,0.9753954410552979,0.08139094710350037,0.01,0.9930070042610168,0.07011645287275314
59,0.9753954410552979,0.08024326711893082,0.01,0.9930070042610168,0.06907783448696136
60,0.9753954410552979,0.07910368591547012,0.01,0.9930070042610168,0.06808621436357498
61,0.9753954410552979,0.07795795053243637,0.01,0.9930070042610168,0.06716492772102356
62,0.9753954410552979,0.07685448229312897,0.01,0.9930070042610168,0.06621711701154709
63,0.9771528840065002,0.07585059106349945,0.01,0.9930070042610168,0.06529117375612259
64,0.9753954410552979,0.07478167861700058,0.01,0.9930070042610168,0.06441119313240051
65,0.9771528840065002,0.0737980529665947,0.01,0.9930070042610168,0.06354007869958878
66,0.9789103865623474,0.07273376733064651,0.01,0.9930070042610168,0.06267549842596054
67,0.9771528840065002,0.07182573527097702,0.01,0.9930070042610168,0.061893124133348465
68,0.9789103865623474,0.0709332674741745,0.01,0.9930070042610168,0.06113854795694351
69,0.9789103865623474,0.06997338682413101,0.01,0.9930070042610168,0.06036462262272835
70,0.9806678295135498,0.0690799355506897,0.01,0.9930070042610168,0.05959686264395714
71,0.982425332069397,0.06821276992559433,0.01,0.9930070042610168,0.058860719203948975
72,0.982425332069397,0.06735372543334961,0.01,0.9930070042610168,0.0581405945122242
73,0.982425332069397,0.06655540317296982,0.01,0.9930070042610168,0.05750354751944542
74,0.982425332069397,0.06575340777635574,0.01,0.9930070042610168,0.05684174969792366
75,0.982425332069397,0.064986452460289,0.01,0.9930070042610168,0.05617699772119522
76,0.982425332069397,0.06412991136312485,0.01,0.9930070042610168,0.055534329265356064
77,0.982425332069397,0.06342532485723495,0.01,0.9930070042610168,0.05490740016102791
78,0.982425332069397,0.06261768937110901,0.01,0.9930070042610168,0.05423593148589134
79,0.982425332069397,0.06186506897211075,0.01,0.9930070042610168,0.05365469679236412
80,0.9841827750205994,0.06121372804045677,0.01,0.9930070042610168,0.05310814082622528
81,0.9841827750205994,0.06049857288599014,0.01,0.9930070042610168,0.0525992214679718
82,0.9841827750205994,0.05977806821465492,0.01,0.9930070042610168,0.0520470105111599
