경찰청이름,주소
동두천경찰서,경기도 동두천시 상패로 89
양주경찰서,경기도 양주시 평화로 1699
연천경찰서,경기도 연천군 연천읍 연천로 239
의정부경찰서,경기도 의정부시 호국로 1265
일산동부경찰서,경기도 고양시 일산동구 중앙로 1338
일산서부경찰서,경기 고양시 일산서구 중앙로 1640
파주경찰서,경기도 파주시 쇠재로 140
포천경찰서,경기도 포천시 군내면 호국로 1570
강원도경찰청,강원도 춘천시 동내면 세실로 49
강릉경찰서,강원도 강릉시 강릉대로 377
고성경찰서,강원도 고성군 간성읍 탑동길 12
동해경찰서,강원도 동해시 천곡로 107
삼척경찰서,강원도 삼척시 정상로 53
속초경찰서,강원도 속초시 도리원길 93
양구경찰서,강원도 양구군 양구읍 양남로 1
영월경찰서,강원도 영월군 영월읍 단종로9
원주경찰서,강원도 원주시 봉산로 1
인제경찰서,강원도 인제군 인제로209번길 9
정선경찰서,강원도 정선군 정선읍 비봉로 31
철원경찰서,강원도 철원군 갈말읍 삼부연로 35
춘천경찰서,강원도 춘천시 춘천로 61
태백경찰서,강원도 태백시 장성로 26
평창경찰서,강원도 평창군 평창읍 군청길 55
홍천경찰서,강원도 홍천군 홍천읍 홍천로 651
화천경찰서,강원도 화천군 화천읍 화천새싹길 33
횡성경찰서,강원도 횡성군 횡성읍 어사매로 78
충청북도경찰청,충북 청주시 청원구 2순환로 168
청주흥덕경찰서,충북 청주시 흥덕구 월명로236번길 15
청주상당경찰서,충북 청주시 상당구 목련로 266
청주청원경찰서,충북 청주시 청원구 향군로 60
충주경찰서,충북 충주시 예성로 218
제천경찰서,충북 제천시 용두대로 27
음성경찰서,충북 음성군 음성읍 중앙로 26
영동경찰서,충북 영동군 영동읍 영산로 32
괴산경찰서,충북 괴산군 괴산읍 읍내로11길 26
단양경찰서,충북 단양군 단양읍 중앙1로 3
보은경찰서,충북 보은군 보은읍 장신로 8
옥천경찰서,충북 옥천군 옥천읍 중앙로 20
진천경찰서,충북 진천군 진천읍 덕금로 165
충청남도경찰청,충남 예산군 삽교읍 청사로 201
공주경찰서,충남 공주시 백제문화로 2148-15
